Enemy SpEffectID,Key SpEffect,Value SpEffect,Chance For K ? V (Percent),Operator,SpEffectForOperator
7000,9996100,9996409,100,0,-1
7000,9996101,9996409,100,0,-1
7000,9996102,9996409,100,0,-1
7000,9996103,9996409,100,0,-1
7000,9996104,9996409,100,0,-1
7000,9996105,9996409,100,0,-1
7000,9996106,9996409,100,0,-1
7000,9996107,9996409,100,0,-1
7000,9996108,9996409,100,0,-1
7000,9996109,9996409,100,0,-1
7000,9996110,9996409,100,0,-1
7000,9996111,9996409,100,0,-1
7000,9996112,9996409,100,0,-1
7000,9996113,9996409,100,0,-1
7000,9996114,9996409,100,0,-1
7000,9996115,9996409,100,0,-1
7000,9996116,9996409,100,0,-1
7000,9996117,9996409,100,0,-1
7000,9996118,9996409,100,0,-1
7000,9996119,9996409,100,0,-1
7000,9996120,9996409,100,0,-1
7000,9996121,9996409,100,0,-1
7000,9996122,9996409,100,0,-1
7000,9996123,9996409,100,0,-1
7000,9996124,9996409,100,0,-1
7000,9996125,9996409,100,0,-1
7000,9996126,9996409,100,0,-1
7000,9996127,9996409,100,0,-1
7000,9996128,9996409,100,0,-1
7000,9996129,9996409,100,0,-1
7000,9996130,9996409,100,0,-1
7000,9996131,9996409,100,0,-1
7000,9996132,9996409,100,0,-1
7000,9996133,9996409,100,0,-1
7000,9996134,9996409,100,0,-1
7000,9996135,9996409,100,0,-1
7000,9996136,9996409,100,0,-1
7000,9996137,9996409,100,0,-1
7000,9996138,9996409,100,0,-1
7000,9996139,9996409,100,0,-1
7010,9996100,9996409,100,0,-1
7010,9996101,9996409,100,0,-1
7010,9996102,9996409,100,0,-1
7010,9996103,9996409,100,0,-1
7010,9996104,9996409,100,0,-1
7010,9996105,9996409,100,0,-1
7010,9996106,9996409,100,0,-1
7010,9996107,9996409,100,0,-1
7010,9996108,9996409,100,0,-1
7010,9996109,9996409,100,0,-1
7010,9996110,9996409,100,0,-1
7010,9996111,9996409,100,0,-1
7010,9996112,9996409,100,0,-1
7010,9996113,9996409,100,0,-1
7010,9996114,9996409,100,0,-1
7010,9996115,9996409,100,0,-1
7010,9996116,9996409,100,0,-1
7010,9996117,9996409,100,0,-1
7010,9996118,9996409,100,0,-1
7010,9996119,9996409,100,0,-1
7010,9996120,9996409,100,0,-1
7010,9996121,9996409,100,0,-1
7010,9996122,9996409,100,0,-1
7010,9996123,9996409,100,0,-1
7010,9996124,9996409,100,0,-1
7010,9996125,9996409,100,0,-1
7010,9996126,9996409,100,0,-1
7010,9996127,9996409,100,0,-1
7010,9996128,9996409,100,0,-1
7010,9996129,9996409,100,0,-1
7010,9996130,9996409,100,0,-1
7010,9996131,9996409,100,0,-1
7010,9996132,9996409,100,0,-1
7010,9996133,9996409,100,0,-1
7010,9996134,9996409,100,0,-1
7010,9996135,9996409,100,0,-1
7010,9996136,9996409,100,0,-1
7010,9996137,9996409,100,0,-1
7010,9996138,9996409,100,0,-1
7010,9996139,9996409,100,0,-1
7020,9996100,9996409,100,0,-1
7020,9996101,9996409,100,0,-1
7020,9996102,9996409,100,0,-1
7020,9996103,9996409,100,0,-1
7020,9996104,9996409,100,0,-1
7020,9996105,9996409,100,0,-1
7020,9996106,9996409,100,0,-1
7020,9996107,9996409,100,0,-1
7020,9996108,9996409,100,0,-1
7020,9996109,9996409,100,0,-1
7020,9996110,9996409,100,0,-1
7020,9996111,9996409,100,0,-1
7020,9996112,9996409,100,0,-1
7020,9996113,9996409,100,0,-1
7020,9996114,9996409,100,0,-1
7020,9996115,9996409,100,0,-1
7020,9996116,9996409,100,0,-1
7020,9996117,9996409,100,0,-1
7020,9996118,9996409,100,0,-1
7020,9996119,9996409,100,0,-1
7020,9996120,9996409,100,0,-1
7020,9996121,9996409,100,0,-1
7020,9996122,9996409,100,0,-1
7020,9996123,9996409,100,0,-1
7020,9996124,9996409,100,0,-1
7020,9996125,9996409,100,0,-1
7020,9996126,9996409,100,0,-1
7020,9996127,9996409,100,0,-1
7020,9996128,9996409,100,0,-1
7020,9996129,9996409,100,0,-1
7020,9996130,9996409,100,0,-1
7020,9996131,9996409,100,0,-1
7020,9996132,9996409,100,0,-1
7020,9996133,9996409,100,0,-1
7020,9996134,9996409,100,0,-1
7020,9996135,9996409,100,0,-1
7020,9996136,9996409,100,0,-1
7020,9996137,9996409,100,0,-1
7020,9996138,9996409,100,0,-1
7020,9996139,9996409,100,0,-1
7030,9996100,9996409,100,0,-1
7030,9996101,9996409,100,0,-1
7030,9996102,9996409,100,0,-1
7030,9996103,9996409,100,0,-1
7030,9996104,9996409,100,0,-1
7030,9996105,9996409,100,0,-1
7030,9996106,9996409,100,0,-1
7030,9996107,9996409,100,0,-1
7030,9996108,9996409,100,0,-1
7030,9996109,9996409,100,0,-1
7030,9996110,9996409,100,0,-1
