Enemy SpEffectID,Key SpEffect,Value SpEffect,Chance For K ? V (Percent),Operator,SpEffectForOperator
9002110,1789,9900000,100,0,-1
9002110,1919,9900000,100,0,-1
9002110,6850,9900000,100,0,-1
9002110,17654,9900000,100,0,-1
9002110,311900,9900000,100,0,-1
9002110,311910,9900000,100,0,-1
9002110,501220,9900000,100,0,-1
9002110,501350,9900000,100,0,-1
9002110,1504000,9900000,100,0,-1
9002110,1504001,9900000,100,0,-1
9002110,1675000,9900000,100,0,-1
9002110,6193010,9900000,100,0,-1
9002110,6193011,9900000,100,0,-1
9002110,6193012,9900000,100,0,-1
9002110,6212020,9900000,100,0,-1
9002110,6212021,9900000,100,0,-1
9002110,6212065,9900000,100,0,-1
9002110,6212066,9900000,100,0,-1
9002110,6212067,9900000,100,0,-1
9002110,6214004,9900000,100,0,-1
9002110,6214104,9900000,100,0,-1
9002110,860,9900000,100,0,-1
9002110,6845,9900000,100,0,-1
9002110,29000,9900000,100,0,-1
9002110,1621000,9900000,100,0,-1
9002110,1623000,9900000,100,0,-1
9002110,1624010,9900000,100,0,-1
9002110,1625000,9900000,100,0,-1
9002110,1626000,9900000,100,0,-1
9002110,1626001,9900000,100,0,-1
9002110,1627000,9900000,100,0,-1
9002110,1627001,9900000,100,0,-1
9002110,29000,9900000,100,0,-1
9002110,1501000,9900000,100,0,-1
9002110,1501001,9900000,100,0,-1
9003560,29000,9900001,100,0,-1
9003560,1621000,9900001,100,0,-1
9003560,1623000,9900001,100,0,-1
9003560,1625000,9900001,100,0,-1
9003560,1626000,9900001,100,0,-1
9003560,1626001,9900001,100,0,-1
9003560,1627000,9900001,100,0,-1
9003560,1627001,9900001,100,0,-1
9003570,29000,9900001,100,0,-1
9003570,1621000,9900001,100,0,-1
9003570,1623000,9900001,100,0,-1
9003570,1625000,9900001,100,0,-1
9003570,1626000,9900001,100,0,-1
9003570,1626001,9900001,100,0,-1
9003570,1627000,9900001,100,0,-1
9003570,1627001,9900001,100,0,-1
9003901,29000,9900001,100,0,-1
9003901,1621000,9900001,100,0,-1
9003901,1623000,9900001,100,0,-1
9003901,1625000,9900001,100,0,-1
9003901,1626000,9900001,100,0,-1
9003901,1626001,9900001,100,0,-1
9003901,1627000,9900001,100,0,-1
9003901,1627001,9900001,100,0,-1
9013901,29000,9900001,100,0,-1
9013901,1621000,9900001,100,0,-1
9013901,1623000,9900001,100,0,-1
9013901,1625000,9900001,100,0,-1
9013901,1626000,9900001,100,0,-1
9013901,1626001,9900001,100,0,-1
9013901,1627000,9900001,100,0,-1
9013901,1627001,9900001,100,0,-1
9002130,503311,9900003,100,0,-1
9002130,503312,9900003,100,0,-1
9002130,503313,9900003,100,0,-1
9002130,503314,9900003,100,0,-1
9002130,503315,9900003,100,0,-1
9002130,503316,9900003,100,0,-1
9002130,503317,9900003,100,0,-1
9002130,1731000,9900003,100,0,-1
9002130,1731001,9900003,100,0,-1
9002130,1731100,9900003,100,0,-1
9002130,1731101,9900003,100,0,-1
9002130,503311,9900010,100,0,-1
9002130,503312,9900010,100,0,-1
9002130,503313,9900010,100,0,-1
9002130,503314,9900010,100,0,-1
9002130,503315,9900010,100,0,-1
9002130,503316,9900010,100,0,-1
9002130,503317,9900010,100,0,-1
9002130,1731000,9900010,100,0,-1
9002130,1731001,9900010,100,0,-1
9002130,1731100,9900010,100,0,-1
9002130,1731101,9900010,100,0,-1
9002110,503311,9900003,100,0,-1
9002110,503312,9900003,100,0,-1
9002110,503313,9900003,100,0,-1
9002110,503314,9900003,100,0,-1
9002110,503315,9900003,100,0,-1
9002110,503316,9900003,100,0,-1
9002110,503317,9900003,100,0,-1
9002110,1731000,9900003,100,0,-1
9002110,1731001,9900003,100,0,-1
9002110,1731100,9900003,100,0,-1
9002110,1731101,9900003,100,0,-1
9002110,503311,9900010,100,0,-1
9002110,503312,9900010,100,0,-1
9002110,503313,9900010,100,0,-1
9002110,503314,9900010,100,0,-1
9002110,503315,9900010,100,0,-1
9002110,503316,9900010,100,0,-1
9002110,503317,9900010,100,0,-1
9002110,1731000,9900010,100,0,-1
9002110,1731001,9900010,100,0,-1
9002110,1731100,9900010,100,0,-1
9002110,1731101,9900010,100,0,-1
9004720,503311,9900003,100,0,-1
9004720,503312,9900003,100,0,-1
9004720,503313,9900003,100,0,-1
9004720,503314,9900003,100,0,-1
9004720,503315,9900003,100,0,-1
9004720,503316,9900003,100,0,-1
9004720,503317,9900003,100,0,-1
9004720,1731000,9900003,100,0,-1
9004720,1731001,9900003,100,0,-1
9004720,1731100,9900003,100,0,-1
9004720,1731101,9900003,100,0,-1
