Enemy SpEffectID,Key SpEffect,Value SpEffect,Chance For K ? V (Percent),Operator,SpEffectForOperator
9002120,9996200,9996338,20,0,-1
9002120,9996201,9996338,20,0,-1
9002120,9996202,9996338,20,0,-1
9002120,9996203,9996338,20,0,-1
9002120,9996204,9996338,20,0,-1
9002120,9996205,9996338,20,0,-1
9002120,9996206,9996338,20,0,-1
9002120,9996207,9996338,20,0,-1
9002120,9996208,9996338,20,0,-1
9002120,9996209,9996338,20,0,-1
9002120,9996210,9996338,20,0,-1
9002120,9996211,9996338,20,0,-1
9002120,9996212,9996338,20,0,-1
9002120,9996213,9996338,20,0,-1
9002120,9996214,9996338,20,0,-1
9002120,9996215,9996338,20,0,-1
9002120,9996216,9996338,20,0,-1
9002120,9996217,9996338,20,0,-1
9002120,9996218,9996338,20,0,-1
9002120,9996219,9996338,20,0,-1
9002120,9996220,9996338,20,0,-1
9002120,9996221,9996338,20,0,-1
9002120,9996222,9996338,20,0,-1
9002120,9996223,9996338,20,0,-1
9002120,9996224,9996338,20,0,-1
9002120,9996225,9996338,20,0,-1
9002120,9996226,9996338,20,0,-1
9002120,9996227,9996338,20,0,-1
9002120,9996228,9996338,20,0,-1
9002120,9996229,9996338,20,0,-1
9002120,9996230,9996338,20,0,-1
9002120,9996231,9996338,20,0,-1
9002120,9996232,9996338,20,0,-1
9002120,9996233,9996338,20,0,-1
9002120,9996234,9996338,20,0,-1
9002120,9996235,9996338,20,0,-1
9002120,9996236,9996338,20,0,-1
9002120,9996237,9996338,20,0,-1
9002120,9996238,9996338,60,0,-1
9002120,9996239,9996338,20,0,-1
